age,age_cat,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,decile_score,two_year_recid
69,Greater than 45,Male,Other,0,-1.0,F,0,Low,1,0
34,25 - 45,Male,African-American,0,-1.0,F,1,Low,3,1
24,Less than 25,Male,African-American,4,-1.0,F,1,Low,4,1
44,25 - 45,Male,Other,0,0.0,M,0,Low,1,0
41,25 - 45,Male,Caucasian,14,-1.0,F,1,Medium,6,1
43,25 - 45,Male,Other,3,-1.0,F,0,Low,4,0
39,25 - 45,Female,Caucasian,0,-1.0,M,0,Low,1,0
27,25 - 45,Male,Caucasian,0,-1.0,F,0,Low,4,0
23,Less than 25,Male,African-American,3,0.0,M,1,Medium,6,1
37,25 - 45,Female,Caucasian,0,0.0,M,0,Low,1,0
41,25 - 45,Male,African-American,0,-1.0,F,0,Low,4,0
47,Greater than 45,Female,Caucasian,1,-20.0,F,1,Low,1,1
31,25 - 45,Male,African-American,7,22.0,F,1,Low,3,1
37,25 - 45,Male,Hispanic,0,0.0,M,0,Low,1,0
25,25 - 45,Male,African-American,3,-1.0,F,0,High,10,0
31,25 - 45,Male,Caucasian,6,-1.0,F,1,Medium,5,1
31,25 - 45,Male,Caucasian,5,-1.0,F,1,Low,3,1
64,Greater than 45,Male,African-American,13,-1.0,F,1,Medium,6,1
21,Less than 25,Male,African-American,1,-1.0,F,1,High,9,1
27,25 - 45,Male,Caucasian,0,0.0,M,1,Low,2,1
21,Less than 25,Female,Caucasian,0,-2.0,F,0,Low,4,0
24,Less than 25,Male,Hispanic,1,0.0,F,1,Low,4,1
43,25 - 45,Male,Caucasian,1,-1.0,M,0,Low,1,0
32,25 - 45,Male,Other,0,-1.0,M,0,Low,3,0
27,25 - 45,Male,African-American,8,-1.0,F,1,Low,3,1
26,25 - 45,Male,African-American,5,-1.0,F,1,Medium,7,1
33,25 - 45,Male,African-American,0,0.0,F,1,High,10,1
30,25 - 45,Male,Caucasian,9,0.0,F,1,High,9,1
32,25 - 45,Male,African-American,4,-1.0,F,1,High,8,1
55,Greater than 45,Male,Caucasian,0,-1.0,F,0,Low,1,0
49,Greater than 45,Male,Other,7,-1.0,F,1,Low,3,1
33,25 - 45,Female,Caucasian,4,-1.0,M,1,Medium,5,1
24,Less than 25,Male,Caucasian,1,0.0,M,1,Low,2,1
34,25 - 45,Male,African-American,21,0.0,F,1,High,9,1
29,25 - 45,Male,Caucasian,0,0.0,M,0,Low,2,0
21,Less than 25,Female,African-American,2,-1.0,F,0,High,8,0
51,Greater than 45,Male,African-American,2,-1.0,M,0,Low,1,0
29,25 - 45,Male,Caucasian,2,-1.0,M,1,Low,2,1
51,Greater than 45,Female,African-American,7,-1.0,F,0,Low,2,0
29,25 - 45,Male,African-American,0,0.0,F,1,Medium,7,1
25,25 - 45,Male,Caucasian,9,-1.0,M,1,High,10,1
35,25 - 45,Male,African-American,13,-1.0,F,1,High,8,1
49,Greater than 45,Male,Caucasian,0,0.0,M,0,Low,1,0
29,25 - 45,Male,African-American,0,0.0,F,0,Low,4,0
29,25 - 45,Male,Caucasian,1,-24.0,F,1,Low,2,1
28,25 - 45,Female,Other,0,-1.0,F,0,Low,2,0
31,25 - 45,Male,African-American,15,-1.0,F,1,Medium,5,0
24,Less than 25,Male,African-American,2,-1.0,F,1,Low,4,1
30,25 - 45,Male,Hispanic,0,0.0,M,0,Medium,7,0
49,Greater than 45,Male,African-American,4,-1.0,M,0,Low,1,0
53,Greater than 45,Male,Caucasian,8,-13.0,F,0,Medium,5,0
35,25 - 45,Male,African-American,5,-1.0,F,0,Low,3,0
27,25 - 45,Male,African-American,15,-1.0,F,1,High,10,1
38,25 - 45,Male,Caucasian,4,-1.0,M,1,Low,2,1
22,Less than 25,Male,African-American,1,-1.0,F,1,Low,4,1
29,25 - 45,Male,African-American,4,-1.0,F,1,High,9,1
62,Greater than 45,Male,Hispanic,0,0.0,M,0,Low,1,0
27,25 - 45,Male,African-American,6,0.0,F,1,Medium,6,1
33,25 - 45,Male,Other,0,-1.0,M,0,Low,1,0
56,Greater than 45,Female,African-American,0,0.0,M,0,Low,1,0
45,Greater than 45,Male,Hispanic,6,-1.0,F,1,Low,1,1
22,Less than 25,Male,Hispanic,1,-1.0,F,0,Low,4,0
39,25 - 45,Male,African-American,1,-1.0,M,0,Low,4,0
29,25 - 45,Male,African-American,5,0.0,F,1,Medium,6,1
27,25 - 45,Male,Caucasian,1,-1.0,F,1,Medium,6,1
40,25 - 45,Male,African-American,2,-15.0,F,0,Low,2,0
22,Less than 25,Male,African-American,1,0.0,M,1,Low,3,1
22,Less than 25,Male,Caucasian,0,-1.0,F,0,High,8,0
26,25 - 45,Female,African-American,1,-1.0,F,1,Low,4,1
32,25 - 45,Male,African-American,0,-1.0,F,0,Low,2,0
41,25 - 45,Male,African-American,1,-1.0,M,0,Low,2,0
30,25 - 45,Male,African-American,8,-1.0,M,1,High,10,1
50,Greater than 45,Male,Other,0,-1.0,F,1,Low,1,1
25,25 - 45,Male,African-American,14,-1.0,F,1,High,10,1
20,Less than 25,Male,Other,0,-1.0,F,1,Medium,5,1
22,Less than 25,Male,African-American,2,0.0,F,1,High,9,1
35,25 - 45,Female,African-American,1,-1.0,M,0,Low,2,0
36,25 - 45,Male,African-American,9,0.0,F,1,Medium,7,1
26,25 - 45,Male,Caucasian,7,0.0,F,1,High,8,1
21,Less than 25,Male,Other,1,0.0,F,1,Medium,6,1
25,25 - 45,Male,Caucasian,9,-1.0,F,1,High,8,1
20,Less than 25,Female,Caucasian,0,-1.0,F,0,Medium,7,0
39,25 - 45,Male,Caucasian,2,-2.0,F,1,Low,1,1
54,Greater than 45,Female,Caucasian,0,0.0,M,0,Low,1,0
44,25 - 45,Female,Hispanic,0,-2.0,M,0,Low,1,0
19,Less than 25,Male,African-American,1,-10.0,M,1,Low,4,1
30,25 - 45,Male,African-American,1,-1.0,F,0,Low,2,0
39,25 - 45,Female,Caucasian,0,-1.0,F,1,Low,1,1
24,Less than 25,Male,Caucasian,8,-1.0,F,1,Medium,6,1
30,25 - 45,Male,Caucasian,0,-1.0,F,0,Low,4,0
31,25 - 45,Male,Caucasian,0,-1.0,M,0,Medium,5,0
39,25 - 45,Female,Caucasian,1,-1.0,F,0,Low,4,0
43,25 - 45,Male,Caucasian,1,-30.0,F,0,Low,1,0
21,Less than 25,Male,African-American,3,-1.0,F,1,High,9,1
38,25 - 45,Male,Caucasian,5,-1.0,M,1,Low,4,1
34,25 - 45,Male,Caucasian,0,0.0,F,0,Medium,5,0
33,25 - 45,Male,African-American,5,0.0,F,1,Medium,5,1
37,25 - 45,Male,African-American,3,0.0,F,0,Low,2,0
42,25 - 45,Male,Caucasian,1,0.0,F,1,Low,2,1
41,25 - 45,Male,African-American,10,0.0,F,1,High,9,1
22,Less than 25,Male,African-American,0,-1.0,F,1,Low,4,1
33,25 - 45,Male,African-American,28,-1.0,F,1,High,8,1
31,25 - 45,Male,African-American,1,-1.0,M,0,Medium,7,0
30,25 - 45,Female,Other,1,-1.0,F,0,Low,2,0
31,25 - 45,Male,Caucasian,13,-1.0,F,1,High,10,1
27,25 - 45,Male,African-American,3,-1.0,F,1,High,9,1
52,Greater than 45,Male,Caucasian,3,-2.0,M,0,High,9,0
33,25 - 45,Male,African-American,19,-1.0,F,1,High,10,1
42,25 - 45,Male,Caucasian,6,-4.0,F,0,Low,3,0
25,25 - 45,Female,Caucasian,2,-1.0,F,0,Low,4,0
30,25 - 45,Male,Caucasian,1,-20.0,M,0,Low,2,0
37,25 - 45,Female,Other,2,-1.0,M,0,Low,2,0
28,25 - 45,Male,Caucasian,0,-1.0,M,1,Low,2,1
24,Less than 25,Female,African-American,0,-1.0,M,0,Low,2,0
29,25 - 45,Female,Caucasian,10,-1.0,F,1,Low,4,1
44,25 - 45,Male,Caucasian,2,0.0,M,1,Low,2,1
32,25 - 45,Male,African-American,3,-1.0,F,1,Medium,7,1
31,25 - 45,Male,Caucasian,2,-16.0,M,1,Low,3,1
31,25 - 45,Male,African-American,1,-1.0,M,1,Low,2,0
59,Greater than 45,Male,Caucasian,1,-1.0,F,1,Low,2,1
20,Less than 25,Female,African-American,1,0.0,F,0,High,10,0
43,25 - 45,Female,Caucasian,0,0.0,M,0,Low,1,0
38,25 - 45,Male,African-American,9,-1.0,F,1,High,8,1
32,25 - 45,Male,African-American,11,-2.0,F,1,Medium,6,1
33,25 - 45,Male,African-American,8,-1.0,M,1,Medium,5,1
31,25 - 45,Female,African-American,0,-1.0,F,1,Low,3,1
33,25 - 45,Female,African-American,7,-1.0,F,1,High,9,1
27,25 - 45,Male,African-American,2,-1.0,F,1,High,9,1
20,Less than 25,Female,African-American,0,0.0,F,0,Medium,6,0
26,25 - 45,Female,Caucasian,0,-2.0,M,0,Medium,6,0
61,Greater than 45,Female,African-American,1,-1.0,F,1,Low,1,1
52,Greater than 45,Male,Other,13,-1.0,F,1,Medium,7,1
63,Greater than 45,Male,Hispanic,1,-26.0,F,0,Low,1,0
32,25 - 45,Female,African-American,4,-7.0,F,1,High,10,1
29,25 - 45,Male,Hispanic,1,-1.0,F,0,Low,4,0
26,25 - 45,Female,African-American,2,-1.0,M,1,Low,4,1
39,25 - 45,Male,Caucasian,1,-1.0,M,0,Low,4,0
30,25 - 45,Female,Caucasian,3,0.0,F,1,Medium,7,1
30,25 - 45,Male,African-American,1,0.0,F,0,Medium,7,0
48,Greater than 45,Male,Caucasian,2,-1.0,M,0,Low,2,0
22,Less than 25,Male,African-American,1,-1.0,F,0,Low,2,0
46,Greater than 45,Male,Caucasian,6,22.0,F,1,Low,1,1
31,25 - 45,Male,Caucasian,0,0.0,F,0,Medium,5,0
25,25 - 45,Male,African-American,1,-1.0,M,1,Low,2,1
23,Less than 25,Male,Hispanic,0,-1.0,F,0,Low,3,0
